,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
16,Richard Littauer,https://github.com/RichardLitt/knowledge,"['science', 'arts', 'python', 'programming']",RichardLitt/knowledge,,english,https://github.com/RichardLitt/knowledge,MIT,2015-10-31 18:29:39,2024-09-30 23:05:57,2024-09-30 23:05:51,295.0,1.0,20.0,20.0,10.0,4.0,15.0,248.0,,,5.0,10,True,2.0,,,,,,,
17,Bhupesh Varshney,https://til.bhupesh.me/,"['programming', 'linux', 'python']",Bhupesh-V/til,,english,https://github.com/Bhupesh-V/til,CC0-1.0,2019-06-18 06:09:22,2024-10-12 14:31:47,2024-10-12 14:31:45,390.0,4.0,15.0,3.0,4.0,1.0,26.0,81.0,,,,10,True,2.0,,,,,,,
18,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,ISC,2020-06-04 21:33:15,2024-08-18 15:56:07,2024-08-18 15:52:37,282.0,8.0,5.0,6.0,4.0,6.0,4.0,47.0,,,,10,True,2.0,,,,,,,
19,Gwern Branwen,https://www.gwern.net/,"['science', 'programming', 'arts']",gjord/gwern.net,,english,https://github.com/gjord/gwern.net,,2014-07-03 17:41:01,2023-04-26 13:48:21,2014-07-03 17:50:18,8297.0,,21.0,4.0,,,,31.0,,,5.0,10,False,2.0,,,,,,,
20,Michael Lubinsky,https://mlubinsky.github.io/,"['programming', 'python', 'linux']",mlubinsky/mlubinsky.github.com,,english,https://github.com/mlubinsky/mlubinsky.github.com,,2011-07-14 23:56:22,2024-10-13 01:42:37,2024-10-13 01:42:37,11903.0,530.0,3.0,2.0,,,1.0,9.0,,,8.0,10,True,2.0,,,,,,,
21,Jethro's Braindump,https://braindump.jethro.dev/,"['science', 'linux', 'programming', 'activism']",jethrokuan/braindump,,english,https://github.com/jethrokuan/braindump,,2017-03-02 14:55:34,2022-12-02 08:22:52,2022-12-02 08:22:44,574.0,,84.0,19.0,29.0,4.0,12.0,383.0,,,6.0,9,True,2.0,,,,,,,
22,Maggie Appelton,https://maggieappleton.com/garden,"['programming', 'science', 'arts']",MaggieAppleton/maggieappleton.com-V2,,english,https://github.com/MaggieAppleton/maggieappleton.com-V2,,2021-09-24 09:01:12,2024-10-05 15:27:24,2024-10-05 15:27:21,963.0,4.0,33.0,7.0,26.0,3.0,1.0,330.0,,,6.0,9,True,2.0,,,,,,,
23,Lee Byron,https://leebyron.com/til/,"['programming', 'linux']",leebyron/til,,english,https://github.com/leebyron/til,MIT,2022-01-04 00:11:18,2024-03-15 22:43:54,2024-03-15 22:43:32,264.0,,8.0,6.0,3.0,2.0,,59.0,,,,9,True,2.0,,,,,,,
24,seanbreckenridge exobrain,https://sean.fish/x/,['programming'],seanbreckenridge/exobrain,,english,https://github.com/seanbreckenridge/exobrain,MIT,2020-06-11 04:33:29,2024-10-10 21:42:07,2024-10-10 21:42:05,780.0,53.0,,4.0,9.0,,18.0,17.0,,,2.0,9,True,2.0,,,,,,,
25,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,MIT,2011-02-01 11:59:36,2024-09-03 16:35:31,2024-09-03 16:34:34,1916.0,14.0,,4.0,11.0,,,2.0,,,20.0,9,True,1.0,,,,,,,
26,mistermicheels learning notes,https://learning-notes.mistermicheels.com/about/about/,['programming'],mistermicheels/learning-notes,,english,https://github.com/mistermicheels/learning-notes,CC-BY-4.0,2019-04-13 20:39:28,2024-07-27 11:17:51,2024-07-27 11:16:35,289.0,1.0,48.0,8.0,16.0,,,270.0,,,2.0,8,True,2.0,,,,,,,
27,Simon Vocella,https://github.com/voxsim/knowledge,"['science', 'programming']",voxsim/knowledge,,english,https://github.com/voxsim/knowledge,,2017-02-10 13:21:49,2020-06-07 22:04:37,2020-06-07 22:04:32,1689.0,,6.0,6.0,,,,36.0,,,,8,False,2.0,,,,,,,
28,Wayanjimmy Notebook,https://notebook.wayanjimmy.xyz/,"['arts', 'programming', 'science', 'productivity']",wayanjimmy/notebook,,english,https://github.com/wayanjimmy/notebook,MIT,2019-07-04 11:37:40,2023-05-28 13:48:45,2023-05-28 13:48:44,490.0,,7.0,2.0,3.0,3.0,,30.0,,,3.0,8,True,2.0,,,,,,,
29,Marc Loupias,https://memo-dev.marc-loupias.fr/,"['programming', 'linux']",MarcLoupias/memo-dev,,english,https://github.com/MarcLoupias/memo-dev,ISC,2017-05-07 16:44:33,2024-04-04 13:36:41,2024-04-04 13:36:40,903.0,,4.0,4.0,91.0,,,16.0,,,3.0,8,True,2.0,,,,,,,
30,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,https://github.com/paveloom/paveloom.dev,MIT,2020-02-01 14:29:58,2024-10-12 14:59:42,2024-10-12 14:59:31,1234.0,25.0,,2.0,60.0,,10.0,1.0,,,3.0,8,True,2.0,paveloom/paveloom.dev,,,,,,
31,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,MIT,2020-04-30 17:33:44,2024-09-18 17:54:31,2024-09-18 17:54:30,393.0,3.0,,,2.0,,,,,,,8,True,2.0,,,,,,,
32,enkiv2,https://www.lord-enki.net/,"['arts', 'science']",enkiv2/misc,,english,https://github.com/enkiv2/misc,,2016-05-13 19:55:51,2024-06-24 20:57:08,2024-06-24 20:57:03,1127.0,,5.0,9.0,1.0,1.0,2.0,63.0,,,,7,True,2.0,,,,,,,
33,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,,2019-04-06 11:12:55,2024-05-12 10:03:05,2024-05-12 10:03:01,320.0,,20.0,5.0,53.0,1.0,,36.0,,,10.0,7,True,2.0,,,,,,,
34,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,MIT,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,4.0,1.0,,,27.0,,,,7,True,2.0,,,,,,,
35,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,,2016-02-17 01:44:04,2023-11-29 06:20:10,2023-11-29 05:51:41,247.0,,3.0,6.0,3.0,,,21.0,,,3.0,7,True,2.0,,,,,,,
36,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,CC-BY-SA-4.0,2022-04-11 14:41:41,2024-10-07 13:16:38,2024-10-07 13:16:35,767.0,3.0,2.0,3.0,3.0,,,12.0,,,2.0,7,True,2.0,,,,,,,
37,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,,english,https://github.com/StrikingLoo/strikingloo.github.io,,2020-06-11 20:36:07,2024-09-26 18:09:03,2024-09-26 18:09:00,1720.0,39.0,2.0,4.0,27.0,,1.0,8.0,,,4.0,7,True,2.0,,,,,,,
38,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,,2021-04-07 14:35:27,2024-10-13 05:19:36,2024-10-11 05:19:19,1281.0,55.0,,2.0,,,,5.0,,,2.0,7,True,2.0,,,,,,,
39,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,CC-BY-4.0,2020-03-07 16:16:24,2024-02-11 20:37:36,2024-02-11 20:37:30,119.0,,6.0,5.0,1.0,,1.0,79.0,,,,6,True,3.0,,,,,,,
40,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,,2018-02-10 10:44:54,2024-10-10 11:39:40,2024-10-10 11:38:21,466.0,9.0,1.0,4.0,,,1.0,39.0,,,,6,True,3.0,,,,,,,
41,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,,2021-08-23 20:20:08,2024-01-17 21:08:42,2024-01-17 21:08:37,173.0,,2.0,3.0,1.0,,,37.0,,,,6,True,3.0,,,,,,,
42,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,,2020-06-28 14:40:32,2024-07-15 02:40:33,2024-07-15 02:40:30,246.0,,14.0,3.0,5.0,,,30.0,,,3.0,6,True,3.0,,,,,1.0,,
43,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,MIT,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,6.0,,,1.0,29.0,,,,6,True,3.0,,,,,,,
44,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,CC-BY-SA-4.0,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,6.0,1.0,1.0,11.0,16.0,,,2.0,6,False,3.0,,,,,,,
45,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,,2020-04-18 14:15:35,2024-10-01 23:33:07,2024-10-01 23:33:05,276.0,9.0,4.0,5.0,1.0,,,13.0,,,2.0,6,True,3.0,,,,,,,
46,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,https://github.com/davzoku/personal-website-v1,MIT,2021-06-15 15:25:18,2024-01-06 13:31:24,2023-12-30 09:00:38,195.0,,,3.0,86.0,,,4.0,,,2.0,6,True,3.0,,,,,,,
47,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,10.0,6.0,4.0,,,61.0,,,2.0,5,True,3.0,,,,,,,
48,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,7.0,2.0,,,48.0,,,,5,False,3.0,,,,,,,
49,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,7.0,6.0,,1.0,1.0,48.0,,,2.0,5,True,3.0,,,,,,,
50,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,,2019-01-29 01:07:38,2023-03-29 03:35:54,2023-03-29 03:35:54,750.0,,2.0,3.0,,,,22.0,,,2.0,5,True,3.0,,,,,,,
51,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,6.0,1.0,1.0,,22.0,,,2.0,5,False,3.0,,,,,,,
52,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,,2018-06-26 16:04:46,2024-08-22 12:53:30,2024-08-22 12:53:26,152.0,1.0,1.0,4.0,,,,20.0,,,,5,True,3.0,,,,,,,
53,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,MIT,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,6.0,,,,12.0,,,2.0,5,False,3.0,,,,,,,
54,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,CC0-1.0,2019-12-29 09:35:55,2024-10-11 06:09:20,2024-07-25 10:43:38,353.0,2.0,1.0,1.0,,,,8.0,,,3.0,5,True,3.0,,,,,,,
55,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,,english,https://github.com/Yarden-zamir/me,,2022-11-21 13:38:48,2024-10-04 09:35:11,2024-10-04 09:35:09,313.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,,,2.0,5,True,3.0,,,,,,,
56,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,,2020-05-29 16:00:06,2022-12-13 18:22:24,2022-12-13 18:22:22,185.0,,2.0,1.0,1.0,,,14.0,,,4.0,4,True,3.0,,,,,,,
57,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,5.0,1.0,,,12.0,,,2.0,4,True,3.0,,,,,,,
58,Kamil Ronewicz,https://github.com/galileo/knowledge,['programming'],galileo/knowledge,,english,https://github.com/galileo/knowledge,MIT,2017-05-03 07:48:33,2022-02-08 11:35:24,2022-02-08 11:35:23,39.0,,1.0,3.0,1.0,,1.0,9.0,,,,4,True,3.0,,,,,,,
59,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,,2019-03-24 01:09:02,2024-09-18 05:50:15,2024-09-18 05:49:48,460.0,2.0,,4.0,6.0,,,9.0,,,3.0,4,True,3.0,,,,,,,
60,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,,2019-01-31 17:47:00,2024-08-08 10:27:30,2024-08-08 10:27:21,188.0,1.0,1.0,5.0,,,,8.0,,,2.0,4,True,3.0,,,,,,,
61,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/mx,,2020-09-27 02:34:26,2023-04-26 20:36:57,2023-04-19 21:15:01,565.0,,1.0,1.0,4.0,,,8.0,,,,4,True,3.0,flber/mx,,,,,,
62,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,CC0-1.0,2017-10-30 00:35:00,2023-04-14 04:08:46,2023-04-14 04:08:46,437.0,,,3.0,137.0,1.0,1.0,3.0,,,4.0,4,True,3.0,,2019-01-14 15:42:02,2018,1.0,,15.0,0.0
63,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,GPL-3.0,2020-10-19 22:55:09,2023-04-15 17:11:43,2023-04-15 17:11:02,95.0,,,,,,,2.0,,,7.0,4,True,3.0,,,,,,,
64,Marshall Bowers,https://knowledge.maxdeviant.com/,"['programming', 'linux']",maxdeviant/knowledge,,english,https://github.com/maxdeviant/knowledge,,2020-03-21 21:21:49,2021-05-16 18:04:43,2021-05-16 18:04:40,30.0,,,3.0,,,,,,,,4,True,3.0,,,,,,,
65,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,,2021-11-06 18:24:10,2024-08-21 20:27:11,2024-08-21 20:25:27,312.0,1.0,,2.0,25.0,,,,,,,4,True,3.0,,,,,,,
66,Mingyang Li,https://tslmy.gitbook.io/k/,"['programming', 'science']",tslmy/know,,english,https://github.com/tslmy/know,,2019-03-03 20:52:14,2022-04-28 19:33:33,2022-04-28 19:33:32,104.0,,1.0,3.0,,,,9.0,,,2.0,3,True,3.0,,,,,,,
67,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208.0,,,1.0,,,,7.0,,,,3,True,3.0,,,,,,,
68,.CLI,https://wiki.changbai.li/#/,"['programming', 'health']",dotcli/knowledge,,english,https://github.com/dotcli/knowledge,,2018-12-09 14:00:32,2024-09-16 20:49:10,2022-12-19 19:32:28,138.0,,,1.0,2.0,,,6.0,,,2.0,3,True,3.0,,,,,,,
69,Nick S. Plekhanov,https://github.com/nicksp/til,['programming'],nicksp/til,,english,https://github.com/nicksp/til,,2017-04-23 21:55:40,2017-07-14 21:13:57,2017-07-14 21:13:51,12.0,,,3.0,,,,6.0,,,,3,False,3.0,,,,,,,
70,Bruno Coimbra,https://wiki.metaphoric.dev/,['linux'],b-coimbra/wiki,,english,https://github.com/b-coimbra/wiki,,2017-06-26 23:15:31,2024-02-20 21:13:18,2024-02-20 21:12:02,111.0,,,1.0,,,,5.0,,,3.0,3,True,3.0,,,,,,,
71,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,https://github.com/joshpierro/knowledge,,2017-03-09 18:24:08,2019-04-30 15:55:55,2019-04-30 15:55:54,14.0,,,3.0,,,,4.0,,,,3,False,3.0,,,,,,,
72,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,https://github.com/hzlmn/week-learning,,2017-03-26 10:04:54,2019-08-18 21:28:23,2019-08-18 21:28:22,47.0,,,4.0,,,,4.0,,,2.0,3,False,3.0,,,,,,,
73,Eyal Levin,https://github.com/eyalev/notes,['arts'],eyalev/notes,,english,https://github.com/eyalev/notes,,2018-10-04 19:46:56,2020-04-27 09:26:21,2020-04-27 09:26:17,88.0,,,2.0,,,,3.0,,,,3,False,3.0,,,,,,,
74,Harald O. Bakke,https://hwiki.bakke.be/,"['activism', 'arts', 'productivity']",bakke92/hwiki,,english,https://github.com/oppoverbakke/hwiki,,2019-04-13 09:28:45,2024-07-28 18:58:04,2024-07-28 18:58:03,300.0,3.0,,2.0,,,,3.0,,,2.0,3,True,3.0,oppoverbakke/hwiki,,,,,,
75,Prasanna Loganathar,https://github.com/prasannavl/knowledge,"['science', 'linux', 'programming']",prasannavl/knowledge,,english,https://github.com/prasannavl/knowledge,,2019-05-10 00:53:49,2022-02-28 07:29:34,2022-02-28 07:29:30,90.0,,,3.0,,,,2.0,,,,3,True,3.0,,,,,,,
76,Shreyas Minocha’s Wiki,https://wiki.shreyasminocha.me/index.html,"['science', 'programming', 'python']",shreyasminocha/wiki,,english,https://github.com/shreyasminocha/wiki,,2020-05-21 16:08:32,2021-02-21 01:46:20,2021-02-21 01:45:23,50.0,,,3.0,,,,2.0,,,3.0,3,True,3.0,,,,,,,
77,Stephen McAleese,https://directory.stephenmcaleese.com/,"['science', 'productivity']",smcaleese/directory,,english,https://github.com/smcaleese/directory,,2019-02-13 20:50:10,2022-12-09 15:40:20,2021-02-14 21:42:32,47.0,,,1.0,34.0,,,,,,,3,True,3.0,,,,,,,
78,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,https://github.com/rsarai/rsarai.github.io,MIT,2020-02-07 01:46:20,2024-03-19 00:18:12,2023-08-10 14:28:02,111.0,,,2.0,17.0,1.0,,,,,2.0,3,True,3.0,,,,,,,
79,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142.0,,1.0,2.0,,,,20.0,,,2.0,2,True,3.0,,,,,,,
80,Nimor's zettelkasten,https://nimor111.github.io/notebook/,[],Nimor111/notebook,,english,https://github.com/Nimor111/notebook,,2020-12-03 21:03:34,2021-06-03 20:32:37,2021-06-03 20:31:25,43.0,,1.0,2.0,,,,7.0,,,2.0,2,True,3.0,,,,,,,
81,Alper Kanat,https://github.com/tunix/notebook,['linux'],tunix/notebook,,english,https://github.com/tunix/notebook,,2020-10-02 09:34:09,2023-05-09 20:11:17,2023-05-09 20:11:17,25.0,,1.0,2.0,,,,4.0,,,2.0,2,True,3.0,,,,,,,
82,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,,2020-04-25 18:21:31,2023-02-20 19:56:56,2022-12-03 14:28:47,110.0,,,2.0,41.0,1.0,,4.0,,,2.0,2,True,3.0,,,,,,,
83,Vegard Stikbakke's TILs,https://til.vegardstikbakke.com/,['programming'],vegarsti/til,,english,https://github.com/vegarsti/til,,2021-05-19 10:00:20,2024-09-20 07:09:43,2024-09-20 07:09:41,66.0,1.0,,2.0,,,,1.0,,,,2,True,3.0,,,,,,,
84,Manassarn Manoonchai,https://wiki.monosor.com/,"['programming', 'productivity', 'arts']",narze/knowledge,,english,https://github.com/narze/knowledge,,2019-07-19 04:49:09,2020-11-10 04:50:23,2020-11-10 04:50:17,55.0,,,1.0,,,,,,,2.0,2,True,3.0,,,,,,,
